Desktop/laptop,Manufacturer,Model,CPU,CPU speed (GHz),# CPU cores,Storage (GB),RAM (GB),Operating system,Selling Store,Price
Laptop,Acer,Chromebook,Intel Celeron,1.1,2,32,4,Chrome,Walmart,199
Laptop,Gateway,Notebook,Intel Celeron,1.1,2,64,4,Windows 10,Walmart,199
Laptop,HP,Stream,Intel Celeron,1.1,2,64,4,Windows 10,Walmart,199
Laptop,Lenovo,Chromebook,AMD A6,1.8,4,32,4,Chrome,Best Buy,219
Laptop,HP,Chromebook,AMD A4,2.4,2,32,4,Chrome,Walmart,225
Laptop,HP,Chromebook,AMD A4,2.4,2,32,4,Chrome,Walmart,225
Laptop,Samsung,Chromebook,Intel Celeron,1.1,2,32,4,Chrome,Walmart,229
Laptop,Asus,Laptop,Intel Celeron,1.8,4,64,4,Windows 11,Best Buy,229.99
Laptop,Asus,Laptop,Intel Celeron,1.1,4,64,4,Windows 11,Best Buy,229.99
Laptop,Asus,Laptop,Intel Celeron,1.1,4,64,4,Wndows 11,Best Buy,229.99
Laptop,HP,stream,Intel Celeron,1.1,4,64,4,Windows 11,Best Buy,239.99
Laptop,HP,Chromebook,AMD A4,2.2,2,32,4,Chrome,Amazon,249.99
Laptop,HP,Stream,Intel Celeron,1.1,2,64,4,Windows 11,Amazon,249.99
Laptop,HP,Laptop,Intel Celeron,1.1,4,64,4,Windows 11,Best Buy,249.99
Laptop,HP,Laptop,Intel Celeron,1.1,4,64,4,Windows 11,Best Buy,249.99
Laptop,HP,Laptop,Intel Celeron,1.1,4,64,4,Windows 11,Best Buy,249.99
Laptop,HP,Chromebook,Intel Celeron,1.1,2,64,4,Chrome,Amazon,289.99
Laptop,HP,Chromebook,Intel Celeron,1.1,4,64,4,Chrome,Amazon,289.99
Laptop,HP,Chromebook,Intel Celeron,1.1,4,64,4,Chrome,Amazon,289.99
Laptop,HP,Stream,Intel Celeron,1.1,2,64,4,Windows 10,Walmart,292.68
Laptop,HP,Stream,Intel Celeron,1.1,2,32,4,Windows 10,Walmart,297.9
Laptop,Acer,Aspire,Intel Celeron,2.8,2,128,4,Windows 11,Walmart,298.51
Laptop,Samsung,Chromebook,Intel Celeron,1.1,4,32,4,Chrome,Best Buy,299
Laptop,HP,Laptop,Intel Penitum,1.1,2,500,4,Windows 10,Walmart,299
Laptop,HP,Laptop,AMD 3020e,2.6,2,64,4,Windows 10,Amazon,299.99
Laptop,Lenovo,IdeaPad,Intel Celeron,1.1,2,64,4,Windows 11,Amazon,299.99
Laptop,Acer,Chromebook,Intel Celeron,1.1,2,64,4,Chrome,Staples,299.99
Laptop,HP,Laptop,Intel Penitum,1.1,4,128,4,Windows 10,Walmart,309
Laptop,HP,Chromebook,Intel Celeron,1.1,2,32,4,Chrome,Amazon,309.99
Laptop,HP,Chromebook,Intel Celeron,1.1,2,32,4,Chrome,Amazon,339.99
Laptop,HP,Laptop,Intel Penitum,2.4,2,128,4,Windows 10,Walmart,362.98
Laptop,Asus,Chromebook,Intel Celeron,2.4,4,32,4,Chrome,Best Buy,369
Laptop,HP,Laptop,Intel Celeron,1.1,4,128,4,Windows 11,Best Buy,369.99
Desktop,HP,All in one,Intel Celeron,2,2,128,4,Windows 11,Best Buy,379.99
Laptop,Lenovo,Ideapad,Intel i3,3,2,128,4,Windows 10,Walmart,380
Laptop,Lenovo,IdeaPad,Intel i3,3,2,128,4,Windows 10,Walmart,380
Laptop,Gateway,Notebook,Intel i3,3,2,256,8,Windows 10,Walmart,399
Desktop,Lenovo,IdeaCentre,AMD Athlon,2.3,4,256,8,Windows 11,Best Buy,399.99
Laptop,Gateway,Slim,Intel i3,3,4,256,8,Windows 10,Walmart,399.99
Laptop,Gateway,Notebook,Intel i3,3,2,128,4,Windows 11,Walmart,445
Laptop,Gateway,Notebook,Intel i3,3,2,128,4,Windows 11,Walmart,445
Laptop,HP,Chromebook,Intel Penitum,3.3,4,64,4,Chrome,Best Buy,449
Laptop,Asus,Vivobook,Intel i3,2.4,4,256,12,Windows 11,Best Buy,449.99
Laptop,Lenovo,Ideapad,Intel i5,2.4,4,256,12,Windows 11,Best Buy,449.99
Laptop,Asus,Vivobook,Intel i3,3.4,4,128,4,Windows 10,Staples,449.99
Desktop,HP,Pavilion,Intel i3,3.6,4,1000,4,Windows 10,Walmart,456
Laptop,Acer,Aspire,Intel i5,4.2,4,256,8,Windows 11,Walmart,459
Laptop,Acer,Aspire,Intel i5,4.2,4,256,8,Windows 11,Walmart,459
Desktop,Acer,Aspire,Intel i3,4.4,4,256,8,Windows 10,Walmart,469
Laptop,Asus,Vivobook,Intel i3,2.1,2,128,4,Windows 10,Walmart,469
Laptop,Lenovo,Ideapad,Intel Penitum,2,2,256,4,Windows 11,Staples,469.99
Laptop,Lenovo,IdeaPad,Intel i5,1,4,512,8,Windows 10,Walmart,469.99
Desktop,HP,All in one,AMD Athlon,2.3,2,256,4,Windows 11,Amazon,474.4
Desktop,HP,Pavilion,AMD Ryzen,4,4,256,4,Windows 11,Amazon,479.99
Laptop,Gateway,Notebook,AMD Ryzen,2.1,2,512,8,Windows 11,Walmart,499
Laptop,Gateway,Notebook,Intel i5,2.4,4,512,16,Windows 11,Walmart,499
Laptop,Dell,Inspiron,Intel Celeron,3.1,2,1000,16,Windows 10,Amazon,499.99
